"last_name, first_name","player_id","year","xwoba","xwobacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","iz_contact_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","f_strike_percent","flyballs_percent","linedrives_percent","sprint_speed"
"Ramírez, Harold","623912","2023",".319",".364",".337","89.1","6.1",4.6,40.7,"100.416096914","94.469777121",71.9,17.6,43.7,42.2,82.4,40.6,28.1,56.5,32.1,39.4,28.4,67.7,19.3,20.8,"27.8"
"Santander, Anthony","623993","2023",".319",".378",".319","90.6","20.2",10.2,46,"101.732013378","95.319994041",66.9,17.9,34.4,32.4,82.1,44.6,23.5,49,46,33,21,62.7,32.5,19.6,"26.7"
"Alonso, Pete","624413","2023",".368",".436",".332","89.5","18.2",14.7,40.1,"102.342134502","95.253955701",61.9,17.9,27.4,43.1,82.1,42.1,26.2,43.7,43.7,32.8,23.5,58.8,35.4,19,"26.0"
"Arroyo, Christian","624414","2023",".273",".332",".310","86.3","11.1",4.6,32.7,"97.619093067","92.82512",79.4,16.7,39.7,42.8,82.9,43.6,25.3,59.7,33.3,37.9,28.8,68,21.6,25.5,"27.7"
"Biggio, Cavan","624415","2023",".314",".360",".322","88.4","15.7",7.4,33,"97.7434156","93.0212046",61.5,15.5,15.9,58.5,84.2,43.5,23.8,39.7,41.4,36,22.7,61.5,30.5,22.7,"28.3"
"Conforto, Michael","624424","2023",".330",".377",".330","88.9","11.9",7.9,39.8,"100.09818404","94.217973543",69,17.4,24.3,43.7,82.6,42.8,24.9,45.3,31.6,43.4,25,61.8,27.3,22.4,"26.1"
"Frazier, Adam","624428","2023",".301",".319",".311","85.7","15.2",3.1,23.4,"95.278497399","91.650357101",67.2,11.4,28.7,38.2,88,42.5,19.2,48.3,36.3,37.1,26.6,58.7,25.1,29.7,"26.5"
"Trevino, Jose","624431","2023",".279",".293",".285","85.8","9.6",2.9,31.6,"97.021833971","92.547410667",55.1,10.1,37.3,24.6,89.2,43.2,16.4,45.6,34.6,39.7,25.7,63.7,16.2,25,"24.4"
"McGuire, Reese","624512","2023",".242",".296",".290","84","2.8",2.9,27,"95.837614394","91.965886641",64.5,17.4,41.9,31.3,81.4,44.1,22.9,53.2,35,37.2,27.7,67,13.9,26.3,"25.9"
"Soler, Jorge","624585","2023",".374",".458",".363","91.3","17.8",15,48,"103.053956467","95.950783079",66.7,19.5,25.6,44.9,80.5,41.7,27.6,44.1,46.6,35.7,17.7,56.7,31.6,24,"26.6"
"Sosa, Edmundo","624641","2023",".292",".362",".323","86.8","13.8",6.7,32.2,"98.656224369","93.335070971",75.8,21.5,43.1,40.5,78,42.9,28.4,59.5,47.1,33.2,19.7,66,23.6,24.5,"29.2"
"Ibáñez, Andy","628451","2023",".331",".379",".337","89.1","12.9",9,42.9,"99.890798819","94.208427735",70.4,12.8,35,40.5,87.2,44.1,22.6,51.8,34.9,39.4,25.6,62.7,26.6,21.8,"27.2"
"Cronenworth, Jake","630105","2023",".305",".327",".300","87.4","15.2",4.4,33.2,"97.73147257","92.917093417",67.1,9.4,26.4,33.7,90.1,44.3,15.9,47.6,35.4,37.3,27.2,60.7,29.2,26.2,"28.3"
"Azocar, José","640492","2023",".305",".378",".353","87","12.5",6.9,26.4,"98.189845758","93.173306308",70.6,16.8,46.3,31.8,82.3,42.6,23.4,57.4,37.5,30.6,31.9,73.5,19.4,23.6,"29.6"
